epoch,train_loss,train_acc,train_macro_f1,train_balanced_acc,val_loss,val_acc,val_macro_f1,val_balanced_acc,val_top2_acc,val_macro_precision,val_macro_recall,lr_backbone,lr_classifier,seconds
1,0.922344,0.65124,0.64825,0.65124,0.742468,0.768955,0.772462,0.768955,0.935963,0.78434,0.768955,9.973e-05,0.00029918,87.17
2,0.698413,0.787139,0.787075,0.787139,0.696542,0.790984,0.792445,0.790984,0.951844,0.803943,0.790984,9.892e-05,0.00029673,63.96
3,0.631784,0.82204,0.821936,0.82204,0.693412,0.798668,0.800475,0.798668,0.951332,0.807443,0.798668,9.758e-05,0.00029268,63.64
4,0.585769,0.850614,0.85059,0.850614,0.672844,0.807889,0.809225,0.807889,0.953893,0.812477,0.807889,9.572e-05,0.00028708,63.91
5,0.553446,0.867681,0.867634,0.867681,0.686576,0.799693,0.801358,0.799693,0.958504,0.805985,0.799693,9.337e-05,0.00027997,64.38
6,0.519623,0.88673,0.886675,0.88673,0.681187,0.802254,0.802651,0.802254,0.964139,0.803785,0.802254,9.055e-05,0.00027145,64.08
7,0.489921,0.903541,0.903494,0.903541,0.712313,0.80123,0.802454,0.80123,0.952869,0.807127,0.80123,8.729e-05,0.0002616,63.64
8,0.467307,0.916773,0.916776,0.916773,0.706653,0.811988,0.811846,0.811988,0.963115,0.815058,0.811988,8.362e-05,0.00025054,63.63
9,0.444631,0.929558,0.929545,0.929558,0.711939,0.805328,0.806172,0.805328,0.960553,0.808033,0.805328,7.96e-05,0.00023837,64.12
10,0.432797,0.9371,0.937045,0.9371,0.716032,0.801742,0.80332,0.801742,0.961066,0.807379,0.801742,7.525e-05,0.00022525,62.16
11,0.420353,0.944196,0.944191,0.944196,0.719606,0.806865,0.807765,0.806865,0.966189,0.810856,0.806865,7.063e-05,0.00021131,63.59
12,0.403546,0.954359,0.954363,0.954359,0.76704,0.802254,0.803257,0.802254,0.95543,0.809816,0.802254,6.58e-05,0.0001967,63.42
13,0.395236,0.958003,0.958003,0.958003,0.738022,0.797643,0.798745,0.797643,0.959016,0.802129,0.797643,6.079e-05,0.00018158,63.11
14,0.386172,0.962094,0.962102,0.962094,0.759551,0.786885,0.788628,0.786885,0.948258,0.795887,0.786885,5.567e-05,0.00016613,62.99
15,0.383248,0.963628,0.963624,0.963628,0.76428,0.798156,0.799609,0.798156,0.953893,0.80483,0.798156,5.05e-05,0.0001505,62.78
