timestamp,elapsed_s,scenario,estimated_pmic_power_w,ext5v_v,temp_c,throttled
2026-06-11 11:20:22,0.0,idle,2.5487,5.1617,37.5,0x0
2026-06-11 11:20:23,1.029,idle,2.0599,5.1429,36.4,0x0
2026-06-11 11:20:24,2.056,idle,2.0806,5.1456,38.05,0x0
2026-06-11 11:20:25,3.083,idle,2.0826,5.1389,38.05,0x0
2026-06-11 11:20:26,4.11,idle,2.297,5.1429,38.6,0x0
2026-06-11 11:20:27,5.137,idle,1.6614,5.1456,37.5,0x0
2026-06-11 11:20:28,6.165,idle,1.6642,5.1429,38.05,0x0
2026-06-11 11:20:29,7.193,idle,1.7299,5.1429,38.6,0x0
2026-06-11 11:20:30,8.221,idle,1.6818,5.1429,36.95,0x0
2026-06-11 11:20:31,9.249,idle,1.651,5.1429,37.5,0x0
2026-06-11 11:20:32,10.277,idle,3.4011,5.1483,39.15,0x0
2026-06-11 11:20:33,11.305,idle,2.442,5.155,38.6,0x0
2026-06-11 11:20:34,12.332,idle,2.3985,5.1523,38.6,0x0
2026-06-11 11:20:35,13.359,idle,2.1126,5.1469,39.15,0x0
2026-06-11 11:20:36,14.388,idle,2.2042,5.1469,38.05,0x0
2026-06-11 11:20:37,15.416,idle,2.1357,5.1443,38.6,0x0
2026-06-11 11:20:38,16.441,idle,1.698,5.1429,38.05,0x0
2026-06-11 11:20:39,17.468,idle,1.706,5.1443,38.6,0x0
2026-06-11 11:20:40,18.496,idle,2.1949,5.1429,38.05,0x0
2026-06-11 11:20:41,19.526,idle,1.9782,5.1429,38.05,0x0
2026-06-11 11:20:42,20.553,idle,2.0765,5.1483,38.05,0x0
2026-06-11 11:20:43,21.583,idle,1.993,5.1456,38.6,0x0
2026-06-11 11:20:44,22.611,idle,1.9954,5.1456,38.05,0x0
2026-06-11 11:20:46,23.641,idle,1.8938,5.1402,38.05,0x0
2026-06-11 11:20:47,24.668,idle,1.6547,5.1429,38.05,0x0
2026-06-11 11:20:48,25.695,idle,1.6523,5.1443,38.05,0x0
2026-06-11 11:20:49,26.722,idle,1.6605,5.1483,38.05,0x0
2026-06-11 11:20:50,27.749,idle,1.6335,5.1416,38.05,0x0
2026-06-11 11:20:51,28.776,idle,1.6666,5.1429,38.6,0x0
2026-06-11 11:20:52,29.803,idle,1.6672,5.1496,38.6,0x0
2026-06-11 11:20:53,30.83,idle,1.688,5.1443,38.6,0x0
2026-06-11 11:20:54,31.857,idle,1.6471,5.1429,38.6,0x0
2026-06-11 11:20:55,32.884,idle,1.7131,5.1429,37.5,0x0
2026-06-11 11:20:56,33.915,idle,2.0635,5.1416,37.5,0x0
2026-06-11 11:20:57,34.945,idle,1.6595,5.1429,38.05,0x0
2026-06-11 11:20:58,35.973,idle,2.9798,5.1496,39.15,0x0
2026-06-11 11:20:59,37.003,idle,1.6861,5.1443,38.05,0x0
2026-06-11 11:21:00,38.031,idle,1.6697,5.1416,38.05,0x0
2026-06-11 11:21:01,39.059,idle,1.6505,5.1443,38.05,0x0
2026-06-11 11:21:02,40.086,idle,1.8564,5.1362,38.05,0x0
2026-06-11 11:21:03,41.114,idle,1.6796,5.1429,38.05,0x0
2026-06-11 11:21:04,42.142,idle,1.6594,5.1402,39.15,0x0
2026-06-11 11:21:05,43.169,idle,1.6543,5.1429,38.6,0x0
2026-06-11 11:21:06,44.196,idle,1.6745,5.1402,38.6,0x0
2026-06-11 11:21:07,45.225,idle,1.679,5.1429,38.05,0x0
2026-06-11 11:21:08,46.252,idle,1.6609,5.1429,38.05,0x0
2026-06-11 11:21:09,47.279,idle,1.6875,5.1483,38.6,0x0
2026-06-11 11:21:10,48.309,idle,1.6818,5.1376,38.05,0x0
2026-06-11 11:21:11,49.337,idle,1.6724,5.1456,39.15,0x0
2026-06-11 11:21:12,50.364,idle,1.6818,5.1429,38.6,0x0
2026-06-11 11:21:13,51.391,idle,1.6389,5.1416,38.6,0x0
2026-06-11 11:21:14,52.419,idle,1.6646,5.1402,38.05,0x0
2026-06-11 11:21:15,53.447,idle,1.675,5.1402,38.6,0x0
2026-06-11 11:21:16,54.475,idle,1.6607,5.1443,38.6,0x0
2026-06-11 11:21:17,55.507,idle,1.9761,5.1456,39.15,0x0
2026-06-11 11:21:18,56.534,idle,1.9844,5.1456,38.6,0x0
2026-06-11 11:21:19,57.562,idle,2.0046,5.1429,39.15,0x0
2026-06-11 11:21:20,58.589,idle,2.0143,5.1443,39.15,0x0
2026-06-11 11:21:21,59.62,idle,1.6658,5.1429,39.15,0x0
